time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.21,0.0978264  0.164548  0.230529, -8.34489   3.51971 -0.540655,0.34 0.19    0, 0.339439 -0.189817  0.001328,-0.34  0.19     0, -0.340639  -0.189664 0.00294737,-637.605 -603.777  3576.62,0 0 0,-556.461  -191.83  1145.71,0 0 0
0.22,0.0897822   0.16775  0.237707,-10.1838  3.85016 -0.72203,0.34 0.19    0,  0.337803  -0.189284 0.00512882,-0.34  0.19     0,-0.342502 -0.188684  0.011383,-643.646 -599.746  3530.69,0 0 0,-534.566  -161.55  998.127,0 0 0
0.23,0.0789748  0.168936  0.255761, -12.1567   4.17361 -0.921229,0.34 0.19    0,  0.33516 -0.188422 0.0111277,-0.34  0.19     0,-0.345513 -0.187101  0.024697,-618.964 -569.377  3325.42,0 0 0,-484.601 -126.575  818.198,0 0 0
0.24,0.0659855  0.168454  0.282606,-14.2029  4.48485 -1.13152,0.34 0.19    0, 0.331578 -0.187254 0.0190499,-0.34  0.19     0,-0.349592 -0.184956 0.0422796,-559.443 -510.274  2947.74,0 0 0,-403.777 -88.6878   615.33,0 0 0
0.25,0.0513955   0.16665  0.316157,-16.2616   4.7787 -1.34618,0.34 0.19    0, 0.327127 -0.185803 0.0286206,-0.34  0.19     0,-0.354662  -0.18229  0.063521,-460.965 -420.038  2384.56,0 0 0,-289.304 -49.6694  398.929,0 0 0
0.26,0.0357859  0.163872  0.354329, -18.272  5.04994 -1.55847,0.34 0.19    0, 0.321874  -0.18409 0.0395652,-0.34  0.19     0,-0.360643 -0.179144 0.0878114,-319.415 -296.273  1622.81,0 0 0,-138.393 -11.3019    178.4,0 0 0
0.27,0.019738 0.160467 0.395036,-20.1734  5.29337 -1.76165,0.34 0.19    0, 0.315889 -0.182139 0.0516087,-0.34  0.19     0,-0.367459 -0.175559  0.114541,-136.348 -141.051  676.499,0 0 0, 46.2369  24.2377 -34.0926,0 0 0
0.28,0.00383289   0.156782   0.436195, -21.905  5.50379 -1.94901,0.34 0.19    0, 0.309241 -0.179971 0.0644766,-0.34  0.19     0,-0.375031 -0.171577    0.1431, 19.0671 -9.44168 -119.913,0 0 0, 196.867  50.9344 -198.168,0 0 0
0.29,-0.0113481   0.153164   0.475719,-23.4061  5.67599 -2.11381,0.34 0.19    0, 0.301998 -0.177609 0.0778939,-0.34  0.19     0,-0.383281 -0.167239  0.172879, 129.665  85.1222 -685.878,0 0 0, 297.742  68.2444 -308.622,0 0 0
0.3,-0.0252239    0.14996   0.511525,-24.6159  5.80479 -2.24931,0.34 0.19    0, 0.294228 -0.175076 0.0915861,-0.34  0.19     0, -0.39213 -0.162586  0.203267, 201.082  147.255 -1050.41,0 0 0, 355.422  77.4296 -372.503,0 0 0
0.31,-0.0373415   0.147448   0.541954,-25.4897  5.88663 -2.35053,0.34 0.19    0,    0.286 -0.172393  0.105278,-0.34  0.19     0,  -0.4015 -0.157658  0.233656, 238.952   181.57 -1242.52,0 0 0, 376.469  79.7516 -396.856,0 0 0
0.32,-0.0477613   0.145621   0.567061,-26.0466  5.92469 -2.41941,0.34 0.19    0, 0.277384 -0.169584  0.118696,-0.34  0.19     0,-0.411314 -0.152497  0.263434,  248.91  192.682 -1291.23,0 0 0, 367.444  76.4724 -388.729,0 0 0
0.33,-0.0566719   0.144404   0.587329,-26.3219  5.92378 -2.45966,0.34 0.19    0,0.268447 -0.16667 0.131563,-0.34  0.19     0,-0.421492 -0.147144  0.291993, 236.593  185.206 -1225.55,0 0 0, 334.908  68.8535 -355.168,0 0 0
0.34,-0.064262  0.143719   0.60324,-26.3509  5.88874 -2.47497,0.34 0.19    0, 0.259258 -0.163673  0.143607,-0.34  0.19     0,-0.431957 -0.141641  0.318723, 207.635  163.756 -1074.49,0 0 0, 285.422  58.1568 -303.219,0 0 0
0.35,-0.0707203   0.143492   0.615276,-26.1687  5.82439 -2.46902,0.34 0.19    0, 0.249886 -0.160618  0.154551,-0.34  0.19     0,-0.442631 -0.136028  0.343013, 167.671  132.946 -867.063,0 0 0,225.549  45.644 -239.93,0 0 0
0.36,-0.0762353   0.143645    0.62392,-25.8106  5.73557 -2.44551,0.34 0.19    0,   0.2404 -0.157525  0.164122,-0.34  0.19     0,-0.453435 -0.130346  0.364255, 122.337  97.3902 -632.291,0 0 0, 161.848  32.5768 -172.346,0 0 0
0.37,-0.0809957   0.144103   0.629654,-25.3118  5.62709 -2.40814,0.34 0.19    0, 0.230867 -0.154417  0.172044,-0.34  0.19     0,-0.464291 -0.124637  0.381837, 77.2672  61.7035 -399.185,0 0 0, 100.881  20.2171 -107.514,0 0 0
0.38,-0.0851902    0.14479    0.63296,-24.7076  5.50379  -2.3606,0.34 0.19    0, 0.221358 -0.151316  0.178043,-0.34  0.19     0,-0.475121 -0.118942  0.395151, 38.0978     30.5 -196.758,0 0 0, 49.2103  9.82654 -52.4819,0 0 0
0.39,-0.0890074   0.145629   0.634321,-24.0331   5.3705 -2.30658,0.34 0.19    0, 0.211941 -0.148245  0.181844,-0.34  0.19     0,-0.485846 -0.113301  0.403587, 10.4636  8.39405 -54.0253,0 0 0, 13.3961  2.66693 -14.2949,0 0 0
0.4,-0.092636  0.146544  0.634219,-23.3236  5.23204 -2.24978,0.34 0.19    0, 0.202683 -0.145227  0.183172,-0.34  0.19     0,-0.496389 -0.107757  0.406534,          0 2.27374e-13 1.81899e-12,0 0 0,-1.36424e-12            0 -4.54747e-13,0 0 0
0.41,-0.0962331   0.147472   0.633055,-22.6084  5.09245 -2.19327,   0.33857   0.190506 0.00426709, 0.193426 -0.142208  0.181844, -0.340879   0.191423 0.00574267,-0.506933 -0.102212  0.403587,0 0 0,0 0 0,0 0 0,0 0 0
0.42,-0.0998302   0.148399   0.630911,-21.8935  4.95252 -2.13766, 0.334628  0.191901 0.0158492, 0.184008 -0.139137  0.178043,-0.343301  0.195347 0.0213299, -0.517658 -0.0965715   0.395151,0 0 0,0 0 0,0 0 0,0 0 0
0.43,-0.103427  0.149327  0.627787,-21.1787  4.81226 -2.08297, 0.328692  0.194001 0.0329175, 0.174499 -0.136037  0.172044,-0.346948  0.201254 0.0443006, -0.528488 -0.0908761   0.381837,0 0 0,0 0 0,0 0 0,0 0 0
0.44,-0.107024  0.150255  0.623681,-20.4642  4.67169 -2.02918, 0.321283  0.196622 0.0536434, 0.164967 -0.132929  0.164122,-0.351501  0.208627 0.0721936,-0.539344 -0.085167  0.364255,0 0 0,0 0 0,0 0 0,0 0 0
0.45,-0.110622  0.151183  0.618595,-19.7499   4.5308 -1.97631,0.312921 0.199581 0.076198, 0.155481 -0.129836  0.154551,-0.356639  0.216948  0.102548, -0.550148 -0.0794854   0.343013,0 0 0,0 0 0,0 0 0,0 0 0
0.46,-0.114219   0.15211  0.612529,-19.0357  4.38961 -1.92435, 0.304126  0.202693 0.0987526,0.146109 -0.12678 0.143607,-0.362043  0.225701  0.132902, -0.560822 -0.0738723   0.318723,0 0 0,0 0 0,0 0 0,0 0 0
0.47,-0.117816  0.153038  0.605481,-18.3218  4.24812  -1.8733,0.295417 0.205774 0.119478,  0.13692 -0.123784  0.131563,-0.367395  0.234368  0.160795, -0.571287 -0.0683688   0.291993,0 0 0,0 0 0,0 0 0,0 0 0
0.48,-0.121413  0.153966  0.597453, -17.608  4.10634 -1.82316,0.287315 0.208641 0.136547,0.127983 -0.12087 0.118695,-0.372373  0.242431  0.183765, -0.581465 -0.0630161   0.263434,0 0 0,0 0 0,0 0 0,0 0 0
0.49,-0.12501 0.154894 0.588445,-16.8944  3.96427 -1.77394, 0.28034 0.211109 0.148129,0.119366 -0.11806 0.105278,-0.376659  0.249372  0.199353, -0.591279 -0.0578554   0.233655,0 0 0,0 0 0,0 0 0,0 0 0
0.5,-0.128607  0.155822  0.578455, -16.181  3.82193 -1.72563,0.275011 0.212994 0.152396, 0.111139 -0.115377 0.0915857,-0.379934  0.254676  0.205095, -0.600649 -0.0529276   0.203267,0 0 0,0 0 0,0 0 0,0 0 0
0.51,-0.132204  0.156749  0.567486,-15.4678  3.67931 -1.67823,0.269682  0.21488 0.148129, 0.103369 -0.112844 0.0778935,-0.383208  0.259979  0.199353,-0.609498 -0.048274  0.172878,0 0 0,0 0 0,0 0 0,0 0 0
0.52,-0.135801  0.157677  0.555535,-14.7548  3.53642 -1.63175,0.262706 0.217348 0.136547,0.0961254 -0.110482 0.0644761,-0.387495  0.266921  0.183765, -0.617748 -0.0439357     0.1431,0 0 0,0 0 0,0 0 0,0 0 0
0.53,-0.139399  0.158605  0.542604,-14.0419  3.39328 -1.58619,0.254604 0.220215 0.119478, 0.089477 -0.108314 0.0516082,-0.392473  0.274984  0.160795,  -0.62532 -0.0399537   0.114541,0 0 0,0 0 0,0 0 0,0 0 0
0.54,-0.142996  0.159533  0.528692,-13.3291  3.24988 -1.54154, 0.245895  0.223296 0.0987523,0.0834923 -0.106363 0.0395646,-0.397824  0.283651  0.132902, -0.632136 -0.0363693  0.0878109,0 0 0,0 0 0,0 0 0,0 0 0
0.55,-0.146593   0.16046  0.513799,-12.6166  3.10623 -1.49781,   0.2371  0.226408 0.0761976,0.0782399  -0.10465   0.02862,-0.403229  0.292403  0.102547, -0.638117 -0.0332235  0.0635204,0 0 0,0 0 0,0 0 0,0 0 0
0.56,-0.15019 0.161388 0.497926,-11.9041  2.96235   -1.455, 0.228738  0.229366 0.0536428,0.0737885 -0.103198 0.0190492,-0.408367  0.300725 0.0721931, -0.643187 -0.0305574   0.042279,0 0 0,0 0 0,0 0 0,0 0 0
0.57,-0.153787  0.162316  0.481072,-11.1919  2.81823  -1.4131, 0.221329  0.231988 0.0329169,0.0702069 -0.102031  0.011127,-0.412919  0.308098 0.0443001, -0.647266 -0.0284122  0.0246963,0 0 0,0 0 0,0 0 0,0 0 0
0.58,-0.157384  0.163244  0.463237,-10.4797  2.67389 -1.37212, 0.215394  0.234088 0.0158484, 0.0675635  -0.101169 0.00512808,-0.416567  0.314005 0.0213293,-0.650277 -0.026829 0.0113823,0 0 0,0 0 0,0 0 0,0 0 0
0.59,-0.160981  0.164171  0.444422,-9.76772  2.52932 -1.33206,  0.211451   0.235483 0.00426626, 0.0659272  -0.100635 0.00132724, -0.418989   0.317929 0.00574204,  -0.65214  -0.025849 0.00294671,0 0 0,0 0 0,0 0 0,0 0 0
0.6,-0.164578  0.165099  0.424626,-9.05585  2.38454 -1.29291,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,0 0 0,0 0 0,0 0 0,0 0 0
0.61,-0.168159  0.166016  0.403972,-8.34378  2.23918  -1.2553,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07,  12.316 -5.04661   23.484,-25.6501  14.2184  13.6175,-10.6013 -1.86443   26.329, 42.327 24.2722 31.5701
0.62,-0.171644   0.16687  0.383073,-7.62985  2.09137  -1.2223,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 45.2738 -18.5875  86.3985,-83.9475  48.2446  48.4599,-38.5164 -6.94987  97.6818,142.022 83.2578 110.957
0.63,-0.174935  0.167595  0.362665,-6.91207  1.93887 -1.19759,    0.210021     0.235989 -8.54766e-07,   0.0653664    -0.100452 -7.62544e-07,   -0.419868     0.319352 -6.46815e-07,   -0.652779   -0.0255131 -6.74268e-07, 92.8885 -38.2243  177.437,-146.913  89.1355  95.5118,-77.9125 -14.4945  202.607,258.154 156.211 215.178
